,0
0,"What did 2019 mean for Office, Residential and Retail in Colombo? Download now - Colombo Year End Real Estate Market Snapshot – 2019 http://co.jll/L6NX50y5xpU #realestate #Srilanka #Colomborealestate #office #residential #retail #srilankarealestate #marketsnapshot #realestate"
1,Why is Alternative real estate becoming mainstream? Hear what JLL experts have to say about alternative real estate http://jll.link/60141uNXI #jllconversations #alternativerealestate #realestateinvestment #indianrealestate #realestate
2,"India’s data center industry that is set to register threefold growth in revenue to US$ 3.2 bn by 2024 is likely to propel the development of additional real estate space of 7.8 mn sq for setting up data centre facilities. Click to read more, http://jll.link/RWYk50xQV2P
#datacentre"
3,"Here’s JLL’s latest report titled ‘Delhi NTR (National Tourism Region)’, launched at the 2nd edition CII Delhi Tourism Conclave earlier this week. To learn key insights on tourism and infrastructure for Delhi. 
http://jll.link/60111rO23
#JLLIndiaKnowledgePartner #hotels"
4,Energetic entrepreneurs are set to transform the real estate industry with their breakthrough proptech solutions. JLL-IDEAs – the largest Proptech Challenge in India is Live Now at Gurgaon & Bengaluru. #JLLProptech #technology #realestate #JLLideas #indianrealestate #property
5,Want to find out where are the world's most dynamic cities? JLL’s new City Momentum Index will be published on 21st January. Stay tuned. #JLLatDavos
6,Delighted to announce that JLL has won a property management contract for a Grade A IT / SEZ campus of 18 lakhs sq. ft. ‘SP Infocity’ Pune. Congratulations and a big thank you to Shapoorji Pallonji Investment Advisors Pvt. Ltd (SPIAPL) for entrusting JLL.
7,"Delighted to share that this unique effort has been recognised by the industry yet again. JLL’s Project Unnati has won the Community Business 2019 D&I in India Best Practice award for ‘Promoting Social Inclusion in India’ #CBIndiaAwards2019. https://lnkd.in/fEY4JPe
#socialgood"
8,"Tired of intercom calls to verify and authorise visitors? Launching Overview by JLL, a smart mobile app that helps you pre-authorise visitors at the click of a button. To know more, visit http://co.jll/GGJF50yGX9v or write to us @ support.overview@ap.jll.com
#Buildings #Residential"
9,"What are the key drivers of momentum in the world's most dynamic cities? Find out in our latest City Momentum Index launched today. http://co.jll/Hg5I50y0Pk2
#JLLatDavos #wef20"
10,"Collaboration, integration, and complementation will act as a competitive advantage and aid the survival of the companies in the coming years for logistics and supply chain sector in India said Manjunath S R, Sr. Director – Supply Chain Consulting, India #JLLIndiaKnowledgePartner"
11,Indians generally spend more than two hours commuting to work daily in metro cities. Here is a sneak peek on how major cities are adapting to ‘Walk to Work’ culture. http://jll.link/UnKS50xPOiu #realestate #india #developers #walktowork #offciespace #residentialrealestate #housing
12,India’s data centre industry offers competitive rates due to its comparatively lower real estate and manpower costs over its APAC counterparts. Download Now! http://jll.link/60151nDFL #datacentres #technology #hyperscale #informationtechnology
13,Creating an adequate healthcare support system is only the start of our people-centric culture. Together we pledge to BeWell@JLL. Here is how. #AchieveAmbitions #IamJLL #BenefitJLL #bestcompaniestoworkfor #LoveJLL #realestate #JLLHR #jobalert #humanrescources #india #recruitment
14,"A rise in the use of electric vehicles in the country is going to impact real estate development. Click to find out what work needs to be done, http://jll.link/60131OVol #electricvehicle #EV #realestate #india http://jll.link/60121OVoY"
15,"Rents in some of the marquee malls have jumped threefold, particularly in properties where the occupancy rate is over 90%. On a pan-India basis, malls with over 95% occupancy have seen rents rise 6%, against an average 2% growth across all malls. http://jll.link/60121ufzk #retail"
16,"Introducing Ambitions, The Cities Issue. Read JLL's latest magazine to learn how urbanization is reshaping the places most of us call home. #JLLAmbitionsMagazine http://co.jll/q5JU50ywTG5"
17,"JLL launches app for residential property management ‘Overview by JLL’ . http://co.jll/EJ3F50yf0Wa

To know more, visit http://co.jll/O8oq50yf0Wb or write to us at support.overview@ap.jll.com

 #residential #housing #homebuyers #propertyassetmanagement #propertymanagement"
18,"Congratulations to Indifusion team on the opening of their store at Trillium Mall, city’s first Grade-A mall. 
#storefront #jllretail #retailrealestate #retailspaces #Nagpur #shopping #mall #Indifusion"
19,"Do you want your organization to be a place you don’t have Monday blues? If your answer is yes, then click on the link to know the best solution. http://jll.link/tKtZ50xPOEH
#india #officespace #realestate #commercialrealestate"
20,"What did 2019 mean for #Office, #Residential and #Retail in #Colombo? Download now - Colombo Year End Real Estate Market Snapshot – 2019 http://co.jll/AEGa50y1JOs #realestate #Srilanka #Colomborealestate #srilankarealestate #marketsnapshot #realestate #realestatetrends"
21,"Despite an expected decline of office space supply in 2020, net absorption is likely to clock a robust over 40 million sq feet mark backed by significant pre-booking or pre-leasing of space by occupiers.  http://co.jll/3jBP50yGsRh #CommercialRealEstate #India #IndianOfficeMarket"
22,"JLL expands the reach of its Digital Solutions services, opens up an office in Aurangabad. Capture the glimpses of our new office and its launch ceremony right here. Click to read more, http://jll.link/60161niZ2"
23,"Why is Alternative real estate becoming mainstream? Wondering how to access alternative sectors like data centers, student housing or co-living? We can help diversify your portfolio and connect you to emerging opportunities. http://jll.link/60171K1KH http://jll.link/60121K1K8"
24,More real estate investors are looking at the 'when' and 'why' of flexible space. Find out more on JLL's Investor http://jll.link/60111MW8N #realestate #flexiblespaces #office #coworking #commercialrealestate
25,"India’s #warehousing market, including both Grade A and Grade B spaces, rose 25% last year to touch 211million sqft: JLL India https://retail.economictimes.indiatimes.com/news/industry/warehousing-industry-grew-25/73728860… #Industrial #Logistics #Infrastructure #transport"
26,"Independent standalone building in G-block. Excellent connectivity. Grade A #officespace in #BKC. 
View property details at http://jll.link/60101nRwO Or call to schedule a Site Visit - 829 11 50501. 
#JLLproperties #mumbai #commercialrealestate"
27,Filling up fast!!! Multiple units available for lease. New building by K Raheja Corporations. View property details at http://jll.link/60171rZgJ Or call to schedule a Site Visit - 829 11 50501 #JLLproperties #ForLease #OfficeSpace #MindSpace #mumbai #commercialrealestate
28,Stressed real estate assets offer an investment opportunity to institutional investors. http://jll.link/60181R5U4 #realestate #investors #developers #stressedassets #india
29,"How are leading companies across the globe optimizing their office space? Download JLL’s Occupancy Planning Benchmarking Report to find out how you measure up: http://jll.link/60131JIwd
#officespace #commercialrealestate #office"
